District,Restaurant number,City,IndicatorName
1,13883,hcmc,The number of restaurants
2,3553,hcmc,The number of restaurants
3,5319,hcmc,The number of restaurants
4,3041,hcmc,The number of restaurants
5,3133,hcmc,The number of restaurants
6,3927,hcmc,The number of restaurants
7,6853,hcmc,The number of restaurants
8,4168,hcmc,The number of restaurants
9,4588,hcmc,The number of restaurants
10,5871,hcmc,The number of restaurants
11,3967,hcmc,The number of restaurants
12,4535,hcmc,The number of restaurants
Binh Tan,5542,hcmc,The number of restaurants
Binh Thanh,11413,hcmc,The number of restaurants
Go Vap,10685,hcmc,The number of restaurants
Phu Nhuan,4334,hcmc,The number of restaurants
Tan Binh,9146,hcmc,The number of restaurants
Thu Duc,6516,hcmc,The number of restaurants
Binh Chanh,1514,hcmc,The number of restaurants
Can Gio,59,hcmc,The number of restaurants
Cu chi,370,hcmc,The number of restaurants
Hoc Mon,1522,hcmc,The number of restaurants
Nha Be,921,hcmc,The number of restaurants